District,Local government,Project number,Location,Project description,Approximate contract value ($m),Approximate quarter to be called,Comment
South Coast,Gold Coast City Council,492655,Nerang - Murwillumbah Road; Sections: 21.52 - 34.17km,Natural Disaster Relief and Recovery Arrangements (NDRRA) Restoration Works - Rehabilitation and Replacement,2.9,1st Qtr 18,
Metropolitan,Logan City Council,459813,Mount Lindesay Highway; North MacLean,Improve intersection/s,20,4th Qtr 18,
Metropolitan,Logan City Council,287680,Pacific Highway (Pacific Motorway); Sections: 8.00 - 11.90km,Overlay/rehabilitate pavement,26,4th Qtr 18*,"* This project will have a number of contracts, with not all to be called in 4th Qtr 18."
Metropolitan,Logan City Council,593123,Pacific Highway (Pacific Motorway); Sections: 8.00 - 12.00km,Rehabilitate and overlay (>75mm),4,2nd Qtr 18,
Metropolitan,Brisbane City Council,8868,North Brisbane Cycleway; Somerset Street - Price Street (Stage 2 and 3),Construct cycleway/s,6.1,2nd Qtr 18,
Metropolitan,Brisbane City Council,270482,Queen Street Bus Station; Myer Centre,Lift installation and upgrade,1.4,2nd Qtr 18,
Metropolitan,Redland City Council,11704,Victoria Point Bus Station; Cleveland-Redland Bay Road,Construct or upgrade bus station/s,5.1,2nd Qtr 18,
Metropolitan,Ipswich City Council,606201,Ebbw Vale Train Station Park `n` Ride; Brisbane Road,Construct or upgrade train Station Park `n` Ride,1.1,3rd Qtr 18,
Metropolitan,Brisbane City Council,634555,Eight Mile Plains Bus Station Park 'n' Ride; Miles Platting Road,Construct or upgrade bus station/s,1.9,4th Qtr 18,
Metropolitan,Gold Coast City Council,617296,Ormeau Train Station Park `n` Ride; Mirambeena Drive,Construct or upgrade train station Park `n` Ride,1.1,3rd Qtr 18,
Metropolitan,Brisbane City Council,660101,Veloway 1 (Stage E); Birdwood Road - Gaza Road,Construct cycleway/s,26.9,1st Qtr 18,
Metropolitan,Brisbane City Council,606604,Centenary Motorway (Sumners Road Interchange),Construct bridge/s and approaches,32,4th Qtr 18,
North Coast,Sunshine Coast Council,13237,Bruce Highway (Brisbane - Gympie); Sections : 81.50 - 94.30km,Install barrier/s,8.1,3rd Qtr 18,
North Coast,Moreton Bay Regional Council,659403,Mount Glorious Road; Samford-Mount Glorious Road,Improve intersection/s,5,4th Qtr 18,
Wide Bay/Burnett,Gympie Regional Council,475332,"Bruce Highway (Gympie - Maryborough); Wide Bay Highway intersection, Sections: 11.20 - 12.85km",Improve intersection/s,12.1,3rd Qtr 18**,** Timing subject to Australian Government approvals.
