STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG,LAT
ABBEYWOOD HIVESVILLE RURAL,GAYNDAH-HIVESVILLE ROAD,ABBEYWOOD ,,151.661371939,-26.120001814
AGNES WATER RURAL,CAPTAIN COOK DRIVE,AGNES WATER ,,151.88320658,-24.182892518
ALDERSHOT RURAL,2 MURRAY STREET,ALDERSHOT ,,152.661586,-25.4657109999999
ALTON DOWNS RURAL,50 NICHOLASON STREET,ALTON DOWNS ,,150.354964475,-23.306887085
ALVA BEACH RURAL,BRABY STREET,ALVA BEACH ,,147.478793022,-19.459759372
AMBY TOWN RURAL,GEORGE STREET,AMBY ,,148.187706719,-26.548008489
ANAKIE RURAL,CORNER OF CAMERON STREET AND HEGARTY STREET,WILLOWS GEMFIELDS ,,147.749447308,-23.5498622499999
ARATULA RURAL,6708 CUNNINGHAM HIGHWAY,ARATULA ,,152.550487714,-27.9791762049999
AVONDALE RURAL,O'CONNELL STREET,AVONDALE ,,152.160480249,-24.742769772
BAJOOL RURAL,HIGH STREET,BAJOOL ,,150.64464,-23.6534399999999
BALL BAY HALIDAY BAY RURAL,5 STURGEON STREET,BALL BAY ,,148.99357187,-20.903618857
BALL BAY HALIDAY BAY RURAL,1 HEADLAND DRIVE,HALIDAY BAY ,,148.987442863,-20.897911773
BALLANDEAN RURAL,27 CURR ROAD,BALLANDEAN ,,151.840085758,-28.80215112
BANANA NO 1 RURAL,CORNER OF NORTH STREET AND BRAMPSTON STREET,BANANA ,,150.129809846,-24.468387314
BAUPLE RURAL,CORNER OF MILL STREET AND SOTTENVILL ROAD,BAUPLE ,,152.625051004,-25.816185036
BEDOURIE TOWN RURAL,EYRE STREET,BEDOURIE ,,139.469184911,-24.3607424059999
BEECHMONT RURAL,6 BINNA BURRA ROAD,BEECHMONT ,,153.192544994,-28.125516943
BEECHMONT RURAL,1861 BEECHMONT ROAD,BEECHMONT ,,153.191449436,-28.12647141
BEERWAH AND DISTRICT RURAL,179 ROYS ROAD,BEERWAH ,,152.976792494,-26.856567506
BELL CENTRE RURAL,CORNER OF CHALLACOMBE STREET AND CASSIDY STREET,BELL ,,151.4517449,-26.933893466
BELLI PARK RURAL,1170 EUMUNDI-KENILWORTH ROAD,BELLI PARK ,,152.844092062,-26.5113577609999
BELLTHORPE RURAL,300 BELLTHORPE WEST ROAD,BELLTHORPE ,,152.718361,-26.8475299999999
BELMONT RURAL,CORNER OF GREENLAKE ROAD AND MILLERS ROAD,PARKHURST ,,150.528185717,-23.230994768
BENARABY RURAL,15 O'CONNOR ROAD,BENARABY ,,151.32285688,-24.0041878
BENNETT RURAL,"LOT 1,  MARY ROAD",TARA ,,150.470297214,-27.052210143
BENNETT RURAL,59 BILLABONG LANE,TARA ,,150.548701028,-27.070538255
BIARRA RURAL,228 ESK - CROWS NEST ROAD,BIARRA ,,152.391043574,-27.208740415
BIDWILL RURAL,LANGERS ROAD,TINANA ,,152.714820396,-25.579567794
BIDWILL RURAL,976 BIDWILL ROAD,TINANA ,,152.704541198,-25.636287196
BINGERA WEIR RURAL,36 STATESMAN DRIVE,SOUTH BINGERA ,,152.22361461,-24.9679622639999
BIRDSVILLE RURAL,EYRE DEVELOPMENTAL ROAD,BIRDSVILLE ,,139.351880852,-25.89804077
BIRNAM RURAL,1 BEAUDESERT/BEENLEIGH ROAD,BIRNAM ,,153.077684095,-27.934622103
BIRTHAMBA RURAL,ROUNDS & BIRTHAMBA ROADS,SOUTH KOLAN ,,152.153635205,-24.886905231
BLACK MOUNTAIN RURAL,MARY RIVER ROAD,COOROY ,,152.888963714,-26.4156473269999
BLACK MOUNTAIN RURAL,COOROY BELLI CREEK ROAD,BLACK MOUNTAIN ,,152.886543075,-26.442751383
BLACK RIVER AND DISTRICT RURAL,BOWDEN ROAD,BLACK RIVER ,,146.626838266,-19.2308901869999
BLENHEIM DISTRICT RURAL,MOUNT BERRYMAN ROAD,BLENHEIM ,,152.329928933,-27.650586985
BLI BLI AND DISTRICT RURAL,CNR LEFOES ROAD AND SPORTS ROAD,BLI BLI,,153.04038542,-26.609680527
BLOOMFIELD RIVER RURAL,BLOOMFIELD ROAD,BLOOMFIELD ,,145.342943523,-15.900625798
BLUEWATER RURAL,FORESTRY ROAD,BLUEWATER ,,146.549626493,-19.175565435
BLUFF RURAL,CHURCH STREET,BLUFF ,,149.069873337,-23.581468012
BONDOOLA RURAL,19 GRANDBOWER ROAD,BONDOOLA ,,150.66468,-23.18567
BONOGIN VALLEY RURAL,911 BONOGIN ROAD,BONOGIN ,,153.33390302,-28.152569087
BOOIE RISE RURAL,66 MALAR CRESCENT,NANANGO ,,151.971935391,-26.5798200679999
BOOUBYJAN BOONARA RURAL,BURNETT HIGHWAY,TANSEY ,,152.051416106,-26.044490824
BOOYAL RURAL,MAIN STREET,BOOYAL ,,152.040389142,-25.2139550859999
BOOYAN RURAL,19 WAGTAIL CLOSE,MOORE PARK BEACH ,,152.213550459,-24.701833887
BOREEN POINT RURAL,TEEWAH STREET,BOREEN POINT ,,152.994965,-26.286511
BOREEN POINT RURAL,"DAVIS ROAD, COOTHARABA",COOTHARABA ,,152.935182769,-26.298900411
BOROREN RURAL,KENT STREET,BOROREN ,,151.49185,-24.24513
BOULDERCOMBE RURAL,52476 BURNETT HIGHWAY,BOULDERCOMBE ,,150.463857018,-23.570989847
BOWENVILLE RURAL,"LOT 1,  NORWIN ROAD",BOWENVILLE ,,151.491859321,-27.3052479209999
BRACKER CREEK RURAL,28 TOBACCO ROAD,INGLEWOOD ,,151.212783015,-28.478627832
BRAEMAR RURAL,2933 DALBY-KOGAN ROAD,DALBY ,,150.82298,-27.06913
BRANYAN RURAL,CORNER OF BARTHOLDT DRIVE AND NAROOMA DRIVE,BUNDABERG ,,152.263778154,-24.912869438
BROOKFIELD RURAL,CORNER OF BOSCOMBE ROAD AND BROOKFIELD ROAD,BROOKFIELD ,,152.91359177,-27.4940791779999
BROOKLANDS RURAL,LORD STREET,BROOKLANDS ,,151.818337181,-26.742905154
BROOKLANDS RURAL,40 TANDURINGIE DRIVE,TARONG ,,151.863029592,-26.7677155649999
BROOKLANDS RURAL,"LOT 173,  ACACIA DRIVE",ELLESMERE ,,151.739122099,-26.733369446
BROOKSTEAD RURAL,GORE HIGHWAY,BROOKSTEAD ,,151.442394038,-27.7615324129999
BROOLOO MARY RIVER RURAL,"LOT 11,  SUTTON STREET",BROOLOO ,,152.701327894,-26.488256081
BROOWEENA DISTRICT  RURAL,SMITH CRESCENT,BROOWEENA ,,152.263422188,-25.599566453
BULLHEAD RURAL,PENINSULA DEVELOPMENT ROAD,LAKELAND ,,144.856192464,-15.861728828
BUNGADOO RURAL,1 RIVER ROAD,BUNGADOO ,,152.080139134,-24.9912987989999
BUNGUNDARRA RURAL,BUNGUNDARRA ROAD,BUNGUNDARRA ,,150.65653,-23.06328
BUNGUNYA RURAL,CORNER OF MAIN STREET AND LANE STREET,BUNGUNYA ,,149.657065344,-28.424732401
BUNYA MOUNTAIN RURAL,BUNYA MOUNTAINS ROAD,BUNYA MOUNTAINS ,,151.596765131,-26.8856164749999
BURKETOWN RURAL,"LOT 120,  ALBERT STREET",BURKETOWN ,,139.548335,-17.735536
BURNETT HEADS RURAL,BREWER STREET,BURNETT HEADS ,,152.409972846,-24.7638999869999
BURRUM HEADS RURAL,BUSHNELL ROAD,BURRUM HEADS ,,152.621045895,-25.1921162689999
BUXTON RURAL,"POWER STREET, POWER STREET, BUXTON QLD 4660",BUXTON ,,152.534013541,-25.1956460649999
BYFIELDS RURAL,BYFIELD ROAD,BYFIELD ,,150.647847124,-22.8440921989999
CABARLAH RURAL,"LOT 679, ",CABARLAH ,,151.990746576,-27.432317187
CALEN AND CAMERONS POCKET RURAL,MCINTRYE STREET,CALEN ,,148.758119,-20.900753
CALLIOPE RURAL,VALLIS STREET,CALLIOPE ,,151.203067616,-24.0161590619999
CALLIUNGAL RURAL,NEWMAN OVAL THOMPSON AVENUE,MOUNT MORGAN ,,150.383673732,-23.6397486139999
CAMBOOYA RURAL,GEORGE STREET,CAMBOOYA ,,151.867078408,-27.705727031
CAMOOWEAL TOWN RURAL,BARKEY HIGHWAY,MOUNT ISA ,,138.121355708,-19.9218188739999
CAPTAIN CREEK RURAL,22 MURPHY ROAD,CAPTAIN CREEK ,,151.77895,-24.2906199999999
CARMILA AND DISTRICT RURAL,MUSIC STREET,CARMILA ,,149.415550924,-21.908197636
CAWARRAL RURAL,MILL STREET,CAWARRAL ,,150.675423897,-23.256276692
CAWARRAL RURAL,674 CAWARRAL ROAD,CAWARRAL ,,150.675423897,-23.256276692
CEDAR CREEK WOLFFDENE RURAL,17 VEIVERS ROAD,WOLFFDENE ,,153.1754833,-27.7965196169999
CEDAR POCKET AND GREENS CREEK RURAL,CEDAR POCKET ROAD,CEDAR POCKET ,,152.747234233,-26.197377092
CENTRAL LOCKYER RURAL,"LOT 50,  LAIDLEY/PLAINLANDS ROAD",LAIDLEY ,,152.399321453,-27.60629209
CENTRAL LOCKYER RURAL,BRIGHTVIEW ROAD,GLENORE GROVE ,,152.4090239,-27.5306876249999
CHAMBERS FLAT RURAL,KENNY ROAD,CHAMBERS FLAT ,,153.092374245,-27.757543601
CHATSWORTH RURAL,ALLEN ROAD,CHATSWORTH ,,152.615318409,-26.1410216309999
CHILLAGOE RURAL,KING STREET,CHILLAGOE ,,144.524238347,-17.157527576
CLAGIRABA RURAL,177 CLAGIRABA ROAD,CLAGIRABA ,,153.256906008,-27.995561633
CLAIRVIEW RURAL,COLONIAL DRIVE,CLAIRVIEW ,,149.536028,-22.1204309999999
CLEAR MOUNTAIN RURAL,445 CLEAR MOUNTAIN ROAD,CLEAR MOUNTAIN ,,152.893278768,-27.3037520509999
CLOSEBURN RURAL,8 ANDREW ROAD,CLOSEBURN ,,152.865875417,-27.325296008
COALSTOUN LAKES RURAL,CORNER OF ISIS HIGHWAY AND GLENVIEW ROAD,COALSTOUN LAKES ,,151.889279792,-25.615494675
COLOSSEUM RURAL,CORNER OF ROE STREET AND JINKS STREET,MIRIAM VALE ,,151.55838,-24.32677
COMET RURAL,SHAKESPEARE STREET,COMET ,,148.545685775,-23.6049880859999
CONDAMINE RURAL,WAMBO STREET,CONDAMINE ,,150.136577802,-26.925466969
CONWAY RURAL,100 ALLAN ROAD,CONWAY ,,148.744165893,-20.471612642
COOBERRIE RURAL,302 WOODBURY ROAD,YEPPOON ,,150.69418,-23.0530699999999
COOMERA VALLEY RURAL,GAWLER PLACE,UPPER COOMERA ,,153.285173313,-27.898527449
COOMINYA RURAL,RAILWAY STREET,COOMINYA ,,152.501800709,-27.3905607629999
COONARR RURAL,85 HERBERT HALLS ROAD,KINKUNA ,,152.472598415,-24.9762966599999
COORANGA NORTH RURAL,CORNER OF IRONPOT ROAD AND JANDOWAE ROAD,BELL ,,151.40539,-26.76555
