STATION,ADDRESS,LOCALITY,ALTADDRESS,CREWING,LEVYTYPE,LONG,LAT
ACACIA RIDGE,127 BRADMAN ST,ACACIA RIDGE,cnr Bradman and Bellrick Sts,P,Class A,153.038532603,-27.5811588619999
AGNES WATER,"LOT 1, ROUND HILL ROAD",AGNES WATER,,A,Class D,151.865629855,-24.2397677499999
AIRLIE BEACH,2495 SHUTE HARBOUR RD,AIRLIE BEACH,,C,Class C,148.727461887,-20.278044215
ALLORA,3 MUIR ST,ALLORA,,A,Class D,151.984645978,-28.0347701489999
ALPHA,16 BYRON ST,ALPHA,Corner Byron and Tennyson Sts,A,Class D,146.640479633,-23.651739654
AMITY POINT,9 HEXTON ST,AMITY POINT,,A,Class D,153.442223059,-27.3984497019999
ANNERLEY,346 IPSWICH RD,ANNERLEY,,P,Class A,153.034752107,-27.5043911189999
ANZAC AVENUE,201 ANZAC AV,TOOWOOMBA,,P,Class A,151.92407481,-27.5718100899999
ARAMAC,87 GORDON ST,ARAMAC,cnr Gordon and Burt Sts,A,Class D,145.240342051,-22.9716608329999
ARANA HILLS,1145 SOUTH PINE RD,ARANA HILLS,,P,Class A,152.9625168,-27.389697753
ASHGROVE,515 WATERWORKS RD,ASHGROVE,,P,Class A,152.976024256,-27.4478923899999
ATHERTON,17 VERNON ST,ATHERTON,,C,Class B,145.477734945,-17.267520948
AUGATHELLA,65 CAVANAGH ST,AUGATHELLA,,A,Class D,146.585687082,-25.7959544139999
AYR,47-49 SOPER ST,AYR,,C,Class B,147.409657974,-19.5716247189999
BABINDA,44 EASTWOOD ST,BABINDA,,A,Class D,145.921454198,-17.344775951
BARALABA,22 STOPFORD ST,BARALABA,,A,Class D,149.811269076,-24.182488365
BARCALDINE,56 ASH ST,BARCALDINE,Corner Maple And Ash Sts,A,Class D,145.291069669,-23.553388732
BARGARA,31 TANNER ST,BARGARA,,A,Class A,152.458762208,-24.813479786
BEAUDESERT,39 BRISBANE ST,BEAUDESERT,,C,Class C,152.996584138,-27.989961025
BEENLEIGH,BRIGADE DR,BEENLEIGH,,P,Class A,153.201908564,-27.703330873
BEERWAH,23 BEERWAH PARADE,BEERWAH,,A,Class D,152.959285433,-26.8552442779999
