Title,Name,Category,Street,Postal,Latitude,Longitude,Phone,Fax,Spectrum Extension,Reporting,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode
Beenleigh,Beenleigh,Probation and Parole Office,"101 George Street  
Beenleigh QLD 4207","PO Box 609  
Beenleigh QLD 4207",-27.715827,153.201437,3884 8870,3884 8892,68870,"* Beaudesert
* Canungra",101 George Street,,Beenleigh,4207,PO Box 609,,Beenleigh,4207
Brisbane Central,Brisbane Central,Probation and Parole Office,"50-56 Little Edward Street  
Spring Hill QLD 4004","PO Box 459  
Spring Hill QLD 4004",-27.461411,153.024101,3406 6077,3406 6099,66077,N/A,50-56 Little Edward Street,,Spring Hill,4004,PO Box 459,,Spring Hill,4004
Brisbane North,Brisbane North,Probation and Parole Office,"766 Gympie Road  
Chermside QLD 4032","PO Box 146  
Virginia DC QLD 4014",-27.387373,153.031031,3405 5411,3405 5405,55411,* Sandgate,766 Gympie Road,,Chermside,4032,PO Box 146,,Virginia DC,4014
Brisbane South,Brisbane South,Probation and Parole Office,"42 Cleveland Street  
Greenslopes QLD 4120","PO Box 1107  
Coorparoo DC QLD 4151",-27.499543,153.04455,3336 0830,3336 0837,60830,* Holland Park,42 Cleveland Street,,Greenslopes,4120,PO Box 1107,,Coorparoo DC,4151
Bundaberg,Bundaberg,Probation and Parole Office,"Level 2  
Claude Wharton Building  
46 Quay Street  
Bundaberg QLD 4670","PO Box 1354    
Bundaberg QLD 4670",-24.865579,152.347499,4131 5430,4131 5431,95430,"* Agnes Water
* Biggenden
* Childers
* Cracow 
* Eidsvold 
* Gayndah 
* Gin Gin
* Many Peaks
* Monto
* Mt. Perry
* Mundubbera",Level 2  Claude Wharton Building,46 Quay Street,Bundaberg,4670,PO Box 1354,,Bundaberg,4670
Burleigh Heads,Burleigh Heads,Probation and Parole Office,"Level 4  
Corner Park Avenue and Connor Street  
Burleigh Heads QLD 4220","PO Box 315  
Burleigh Heads QLD 4220",-28.090295,153.451639,5569 7910,5569 7911,35910,* Coolangatta,Level 4,Corner Park Avenue and Connor Street,Burleigh Heads,4220,PO Box 315,,Burleigh Heads,4220
Caboolture,Caboolture,Probation and Parole Office,"The Lakes Centre Building C   
8/22 King Street  
Caboolture QLD 4510",,-27.085541,152.953689,5431 2566,5431 2577,79566,"* Kilcoy
* Woodford",The Lakes Centre Building C ,8/22 King Street,Caboolture,4510,,,,
Cairns,Cairns,Probation and Parole Office,"Level 1120  
 Bunda Street  
Cairns QLD 4870","PO Box 599  
Cairns QLD 4870",-16.927586,145.773324,4039 8210,4039 8208 ,,"* Aurukun
* Cardwell
* Coen
* Cooktown
* Gordonvale
* Hopevale
* Kowanyama
* Laura
* Lockhart River
* Mossman
* Napranum
* Old Mapoon
* Pormpuraaw
* Port Douglas
* Weipa
* Wujal Wujal",Level 1120, Bunda Street,Cairns,4870,PO Box 599,,Cairns,4870
Emerald,Emerald,Probation and Parole Office,"Shop 1  
Waterson Place  
21 Hospital Road  
Emerald QLD 4720","PO Box 1167  
Emerald QLD 4720",-23.521807,148.157238,4983 7444,4983 7466,20444,"* Alpha
* Anakie
* Aramac
* Barcaldine
* Blackall
* Blackwater
* Capella
* Clermont
* Dysart
* Ilfracombe
* Jericho
* Jundah
* Longreach
* Middlemount
* Moranbah
* Muttaburra
* Opalton
* Rolleston
* Springsure
* Stonehenge
* Tieri
* Windorah
* Winton
* Yaraka",Shop 1  Waterson Place,21 Hospital Road,Emerald,4720,PO Box 1167,,Emerald,4720
General,General,Head office,"State Law Building  
50 Ann Street  
Brisbane QLD 4000","GPO Box 1054  
Brisbane QLD 4001",-27.468858,153.021921,3227 7111,,,N/A,State Law Building,50 Ann Street,Brisbane,4000,GPO Box 1054,,Brisbane,4001
