Title,Description,Keywords,Address 1,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Phone 2,Email,Website,URL,
AAA All Licences,,,Lot 5 Nerang-Broadbeach Road,,Carrara,4211,-28.0074151,153.364265,(07) 5530 3619,0419 591 370,[info@qridemotorcycling.com.au](mailto:info@qridemotorcycling.com.au),[AAA All Licences](www.qridemotorcycling.com.au),AAA All Licences-Lot 5 Nerang-Broadbeach Road,
Aegis Training Services,,,Barmaryee Road,,Yeppoon,4207,-23.1306058,150.6982096,1300 137 277,,[info@learner.com.au](mailto:info@learner.com.au),[Aegis Training Services website](http://www.learner.com.au),Aegis Training Services-104 River Hills Road,[Aegis Training Services website][Aegis Training Services website](http://www.learner.com.au)
Aegis Training Services,,,Waterline Way,,Yeppoon,4703,-23.1634101,150.7854043,1300 137 277,,[info@learner.com.au](mailto:info@learner.com.au),[Aegis Training Services website](http://www.learner.com.au),Aegis Training Services-Waterline Way,[Aegis Training Services website][Aegis Training Services website](http://www.learner.com.au)
Aegis Training Services,,,186 Wises Road,,North Buderim,4556,-26.670414,153.07596,1300 137 277,,[info@learner.com.au](mailto:info@learner.com.au),[Aegis Training Services website](http://www.learner.com.au),Aegis Training Services-186 Wises Road,[Aegis Training Services website][Aegis Training Services website](http://www.learner.com.au)
Aegis Training Services,,,114 Distillery Road,,Beenleigh,4207,-27.7225811,153.2169351,1300 137 277,,[info@learner.com.au](mailto:info@learner.com.au),[Aegis Training Services website](http://www.learner.com.au),Aegis Training Services-114 Distillery Road ,[Aegis Training Services website][Aegis Training Services website](http://www.learner.com.au)
AMT Australian Motorcycle Training,,,29 Riverview Road,,Riverview ,4303,-27.5925489,152.8444103,0430 465 956,,[blake.alexander.amt@gmail.com](mailto:blake.alexander.amt@gmail.com),[AMT Australian Motorcycle Training website](http://www.australianmotorcycletraining.com.au/),AMT Australian Motorcycle Training-29 Riverview Road,[AMT Australian Motorcycle Training website][AMT Australian Motorcycle Training website](http://www.australianmotorcycletraining.com.au/)
Australian Motorcycle Academy,,,Cnr Alabaster Drive and Nerang-Broadbeach Road,,Carrara,4211,-28.0089708,153.366702,(07) 5596 4938,0427 732 223,[info@ama-qride.com.au](mailto:info@ama-qride.com.au),[Australian Motorcycle Academy website](http://www.ama-qride.com.au),Australian Motorcycle Academy-Cnr Alabaster Drive and Nerang-Broadbeach Road,[Australian Motorcycle Academy website][Australian Motorcycle Academy website](http://www.ama-qride.com.au)
Australian Motorcycle Academy,,,Cnr Jondique Avenue and Gooding Drive,,Carrara,4211,-28.0464869,153.3664749,(07) 5596 4938,0427 732 223,[info@ama-qride.com.au](mailto:info@ama-qride.com.au),[Australian Motorcycle Academy website](http://www.ama-qride.com.au),Australian Motorcycle Academy-Cnr Jondique Avenue and Gooding Drive,[Australian Motorcycle Academy website][Australian Motorcycle Academy website](http://www.ama-qride.com.au)
Bike Smart Motorcycle Training,,,288 Gooding Drive,,Carrara,4218,-28.0343649,153.3777721,0408 691 585,,[steve@scelectrical.com.au](mailto:steve@scelectrical.com.au),[Bike Smart Motorcycle Training website](http://www.bikesmarttraining.com.au),Bike Smart Motorcycle Training-Mermaid Waters,
Bike Smart Motorcycle Training,,,68 Gemvale Road,,Reedy Creek,4227,-28.0946776,153.3912258,0408 691 585,,[steve@scelectrical.com.au](mailto:steve@scelectrical.com.au),[Bike Smart Motorcycle Training website](http://www.bikesmarttraining.com.au),Bike Smart Motorcycle Training-Reedy Creek,
Bikecraft Motorcycle Rider Training,,,Cnr Severin Street and Mulgrave Road,,Cairns,4870,-16.924933,145.7644133,0403 370 927,,[bikecraftmrt@gmail.com](mailto:bikecraftmrt@gmail.com),,Bikecraft Motorcycle Rider Training-Cnr Severin Street and Mulgrave Road,
Bundaberg Motorcycle Training,,,7 Production Street,,Bundaberg,4670,-24.889955,152.328301,(07) 4155 3613,0427 776 227,[bundabergmotorcycletraining@hotmail.com](mailto:bundabergmotorcycletraining@hotmail.com),[Bundaberg Motorcycle Training website](http://www.bundabergmotorcycletraining.com.au),Bundaberg Motorcycle Training-7 Production Street,[Bundaberg Motorcycle Training website][Bundaberg Motorcycle Training website](http://www.bundabergmotorcycletraining.com.au)
Bundaberg Motorcycle Training,,,9 Fitzgerald Street,,Bundaberg,4670,-24.895447,152.340771,(07) 4155 3613,0427 776 227,[bundabergmotorcycletraining@hotmail.com](mailto:bundabergmotorcycletraining@hotmail.com),[Bundaberg Motorcycle Training website](http://www.bundabergmotorcycletraining.com.au),Bundaberg Motorcycle Training-9 Fitzgerald Street,[Bundaberg Motorcycle Training website][Bundaberg Motorcycle Training website](http://www.bundabergmotorcycletraining.com.au)
Bundaberg Motorcycle Training,,,South Trees Road,,Gladstone,4680,-23.9045223,151.2872321,(07) 4155 3613,0427 776 227,[bundabergmotorcycletraining@hotmail.com](mailto:bundabergmotorcycletraining@hotmail.com),[Bundaberg Motorcycle Training website](http://www.bundabergmotorcycletraining.com.au),Bundaberg Motorcycle Training-South Trees Road,[Bundaberg Motorcycle Training website][Bundaberg Motorcycle Training website](http://www.bundabergmotorcycletraining.com.au)
