Site Name,Latitude,Longitude,
Queensland Agricultural Training Colleges(QATC)  Corporate Office,"-27.550708,",152.319551,
RTQ   South   Gatton,"-27.550708,",153.319551,
RTQ   South   Dalby,"-27.154499, ",151.281507,
RTQ   South   Bundaberg,"-24.841054,",152.403037,
RTQ   North   Walkamin,"-17.130402,",145.424659,
RTQ   North   Mackay,"-21.139245,",149.186019,
RTQ   North   Ayr,"-19.544028, ",147.367969,
Emerald Agricultural College,"-23.538817,",148.184644,
Longreach Pastoral College,"-23.364533,",144.190324,
QATC   Brisbane Office,"-27.468242,",153.0224,
