Sport,Organisation,Postal Address,Postal Address Suburb,Postal Address State,Postal Address Postcode,Street Address,Street Address Suburb,Street Address State,Street Address Postcode,Phone,Email,Website
Athletics,Queensland Athletic Association Ltd,PO Box 249,Sunnybank,QLD,4109,"Level 3, Queensland Sports and Athletic Centre, Kessels Rd",Nathan,QLD,4111,(07) 3343 5653,info@qldathletics.org.au,www.qldathletics.org.au
Athletics Coach Education,Sports Credentials,PO Box 98,Griffith University,QLD,4222,Gold Coast Athletics Tract University Drive,Southport,QLD,,(07) 55949329,info@sportscredentials.com.au,www.sportscredentials.com.au
Australian Football,AFL Queensland Ltd,PO Box 3132,Yeronga LPO,QLD,4104,Cansdale Street,Yeronga,QLD,4104,(07) 3033 5400,admin@aflq.com.au,www.aflq.com.au
Badminton,Queensland Badminton Association Inc,,,,,"Suite 2.01 Sports House, Cnr Caxton and Castlemaine Streets",Milton,QLD,4064,(07) 3162 1281,secretary@qba.net.au,www.qba.net.au
Baseball,Baseball Queensland Inc,PO Box 124,Spring Hill,QLD,4004,"Suite 1.11 Sports House, Cnr Caxton and Castlemaine Stre",Milton,QLD,4064,(07) 3876 2222,admin@baseballqld.asn.au,www.qld.baseball.com.au
Basketball,Queensland Basketball Inc,"c/o The Sleeman Sports Complex, Cnr Old Cleveland & Tilley Rds",Chandler,QLD,4115,"Sleeman Sports Complex, Cnr Old Cleveland & Tilley Rds",Chandler,QLD,4155,(07) 3377 9100,admin@basketballqld.net.au,www.basketballqld.net.au
Building Active Communities Workshops,CPRGroup,PO Box 2092,Sunshine Plaza,QLD,4558,,,,,(07)5443 6247,michael@cprgroup.com.au,http://www.cprgroup.com.au/
Building Active Communities Workshops,Committee.com,PO Box 826,Ipswich,QLD,4305,,,,,(07)30090600,info@RotationalMoulding.com,http://www.committee.com.au/
Building Active Communities Workshops,Sports Education and leadership Services (SEAL),PO Box 937,Terrigal,NSW,2260,,,,,(07) 3111-1735,christine.voge@sealglobal.net,www.sealglobal.net
Building Active Communities Workshops,Fitnance,4/65 Manilla Street,East Brisbane,QLD,4169,,,,,(07) 33910022,chris@fitnance.com.au,www.fitnance.com.au
Building Active Communities Workshops,Complete Performance Solutions,PO Box 1290,Coolum Beach,QLD,4573,,,,,(07)31668183,leanne@completeperformancesolutions.com,www.completeperformancesolutions.com
Building Active Communities Workshops,KH,3 Hamilton Street,Ballina,NSW,2478,,,,,0421148098,krista@kristahauritz.com.au,www.kristahauritz.com.au
Building Active Communities Workshops,Wishbone Communications,PO Box 1743,Toowoomba,QLD,4350,,,,,0403462686,heather@wishbone.com.au,www.wishbone.com.au
Building Active Communities Workshops,Sporting Advantage,PO Box 1697,Thuringowa Central,QLD,4817,,,,,(07) 47792779,luke@sportingadvantage.com.au,www.sportingadvantage.com.au
Cricket,Queensland Cricket Association Ltd,PO Box 575,Albion,QLD,4010,1 Bogan Street,Breakfast Creek,QLD,4010,(07) 3292 3100,qldc@qldcricket.com.au,www.qldcricket.com.au
Dancesport,Dance Link,PO Box 233,Woodridge,QLD,4114,,,,,(07) 32086302,jeffelworthy@optusnet.com.au,
Football (Soccer) and Futsal (Indoor Soccer),Football Queensland Ltd,PO Box 748,Sunnybank,QLD,4109,"Level 3, Queensland Sport and Athletics Centre, Kessels Road",Nathan,QLD,4109,(07) 3420 5866,info@footballqueensland.com.au,www.footballqueensland.com.au
Golf,Gold Queensland Ltd,GPO Box 1518,Brisbane,QLD,4001,"Unit 2, 14 Walden Lane",Bowen Hills,QLD,4006,(07) 3252 8155,info@golfqueensland.org.au,www.golfqueensland.org.au
Gymnastics and Cheerleading,Queensland Gymnastics Association Inc,"Level 3 Sports House, 866 Main Street",Woolloongabba,QLD,4102,"Level 3 Sports House, 866 Main Street",Woolloongabba,QLD,4102,(07) 3036 5600,info@gymqld.org.au,www.gymqld.org.au
Handball,Queensland Team Handball Association Inc,PO BOX 15395,City East,QLD,4002,,,,,0488 271 046,president@qldhandball.com.au,www.qldhandball.com.au
Hockey,Hockey Queensland Inc,PO Box 246,Morningside,QLD,4170,400-420 Lytton Road,Colmslie,QLD,4170,(07) 3399 6577,office@hockeyqld.com.au,www.hockeyqld.com.au
Inclusive Sport,Sporting Wheelies & Disabled Association,60 Edmondstone Road,Bowen Hills,QLD,4006,,,,,(07) 32533333,mailbox@sportingwheelies.org.au,www.sportingwheelies.org.au
Life Saving,royal Life Saving Queensland,PO Box 1093,Capalaba,QLD,4157,1204 New Cleveland Road,Gumdale,QLD,4154,(07)38232823,training@rlssq.com.au,www.rlssq.com.au
Netball,Queensland Netball Association Inc,PO Box 50,Moorooka,QLD,4105,210 Beaudesert Rd,Moorooka,QLD,4105,(07) 3848 6330,info@netballq.org.au,www.netballq.org.au
