Title,Location,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Operating hours,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Agency,Services,Facilities,Counter type
Brisbane/Brisbane North Youth Justice Centre,Bowen Hills,41 Murray Street,,Bowen Hills,4006,PO Box 692,,ALBION BC,4010,-27.4418731,153.0413788,(07) 3274 9911,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Brisbane South Youth Justice Centre,Buranda,306 Ipswich Road,,Buranda,4102,PO Box 6027,,BURANDA,4102,-27.500706,153.0364595,(07) 3406 2801,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Caboolture Youth Justice Centre,Morayfield,10-20 Walker Street,,Morayfield,4506,PO Box 688,,MORAYFIELD,4506,-27.111287,152.950237,(07) 5428 8300,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Sunshine Coast/North Coast Youth Justice Centre,Mooloolaba,21 Brisbane Road,,Mooloolaba,4557,PO Box 486,,MOOLOOLABA,4557,-26.6814551,153.1192864,(07) 5470 9460,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Redlands Youth Justice Centre,Cleveland,136 Bloomfield Street,,Cleveland,4163,PO Box 1169,,CLEVELAND,4163,-27.5286869,153.2669792,(07) 3383 1400,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Youth and Family Support Service,Bowen Hills,41 Murray Street,,Bowen Hills,4006,PO Box 692,,ALBION BC,4010,-27.4418731,153.0413788,(07) 3274 9917,,,"9:00am-21:00pm - Monday - Friday
9:00am-18:00pm - Saturday",9:00-12:00,12:00-21:00,9:00-12:00,12:00-21:00,9:00-12:00,12:00-21:00,9:00-12:00,12:00-21:00,9:00-12:00,12:00-21:00,9:00-12:00,12:00-18:00,,,DJAG,,,
Hervey Bay Youth Justice Centre,Pialba,3/101 Beach Road,,Pialba,4655,PO Box 751,,HERVEY BAY,4655,-25.286551,152.830907,(07) 4125 9220,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Mackay Youth Justice Centre,Mackay,41 Gordon Street,,Mackay,4740,PO Box 504,,MACKAY,4740,-21.143065,149.1853422,(07) 4967 2360,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Rockhampton Youth Justice Centre,Rockhampton,155 Alma Street,,Rockhampton,4700,PO Box 1277,,ROCKHAMPTON,4700,-23.380242,150.51213,(07) 4924 1842,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Bundaberg Youth Justice Centre,Bundaberg,6 Heidke Street,,Bundaberg,4670,PO Box 5738,,BUNDABERG WEST,4670,-24.8873095,152.3206174,(07) 4131 5438,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Cherbourg Youth Justice Centre,Cherbourg,Broadway Street,,Cherbourg,4605,PO Box 117,,MURGON,4605,-26.2910658,151.9532637,(07) 4169 9444,,,By appointment only,,,,,,,,,,,,,,,DJAG,,,
Murgon Youth Justice Centre,Murgon,Level One Murgon Courthouse,Stephens Street,Murgon,4605,PO Box 117,,MURGON,4605,-26.239818,151.940334,(07) 4169 9444,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Central West Youth Justice Service,Emerald,50 Borilla Street,,Emerald,4720,PO Box 2449,,EMERALD,4720,-23.522617,148.158932,(07) 4843 8408,,,8:30am-17:00pm - Monday - Friday,8:30-12:00,12:00-17:00,8:30-12:00,12:00-17:00,8:30-12:00,12:00-17:00,8:30-12:00,12:00-17:00,8:30-12:00,12:00-17:00,,,,,DJAG,,,
Gladstone Youth Justice Centre,Gladstone,Government Building,Corner Oaka Lane and Roseberry Street,Gladstone,4680,PO Box 1327,,GLADSTONE,4680,-23.8414219,151.2559064,(07) 4979 6531,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Gold Coast Youth Justice Centre,Mermaid Beach,Shop 13 Pacific Square,2540 Gold Coast Highway,Mermaid Beach,4218,PO Box 222,,MERMAID BEACH,4218,-28.0418707,153.4339133,(07) 5562 7157,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Ipswich Youth Justice Centre,Ipswich,24-26 South Street,,Ipswich,4305,PO Box 1052,,IPSWICH,4305,-27.6113994,152.7894508,(07) 3884 5800,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Logan Youth Justice Centre,Woodridge,18 Blackwood Road,,Woodridge,4114,PO Box 205,,WOODRIDGE,4114,-27.6379171,153.1062286,(07) 3884 9777,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Toowoomba Youth Justice Centre,Toowoomba,49 Neil Street,,Toowoomba,4350,PO Box 2525,,TOOWOOMBA,4350,-27.562384,151.95499,(07) 4615 3444,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Western Districts Youth Justice Centre,Forest Lake,255 Forest Lake Boulevard,,Forest Lake,4078,PO Box 4180,,FOREST LAKE,4078,-27.626545,152.970013,(07) 3710 1242,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
Charleville Youth Justice Centre,Charleville,Lot 88 Hood Street,,Charleville,4470,PO Box 647,,CHARLEVILLE,4470,-26.4092996,146.2447782,(07) 4654 3852,,,8:30am-16:30pm - Monday - Friday,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,DJAG,,,
