Name of Facilities,PIC,Site Address,Town,Contact,Telephone
Aratula Livestock Inspection Centre,QDBN1672,"2929 Lake Moogerah Rd, MT Edwards ",Aratula,Robert Pellagreen,5463 8368 or 0427 133 388 
Clumber Clearing Dip,QJBN1710,"Lake Moogerah Rd, MT Edwards",Aratula,Robert Pellagreen,5463 8368 or 0427 133 388 
Silverdale Clearing Dip,QGBN1387,5380 Cunningham Hwy ,Silverdale,Robert Pellagreen,5463 8368 or 0427 133 388 
Helidon Clearing Dip,QEGT0556,Airforce Road , Helidon,Anthony Smoothy,4697 7228 or 0457 984 150 
Helidon Livestock Inspection Centre,QKGT1461,Warrego Hwy , Helidon,Anthony Smoothy,4697 7228 or 0457 984 150 
Elders Harristown,QDTW0296,429 South Street ,Toowoomba,Elders Toowoomba,4690 7777
Landmark Harristown,QCTW0294,Cnr Condamine & Buckland Streets,Toowoomba,Landmark Toowoomba,4637 3000
Rocky Clearing Dip,QGCN1011,Pierces Creek Road ,Crows Nest,Natasha Stark,0439 606 686
Spring Creek Clearing Dip,QACN1010,New England Highway,Thornville,Natasha Stark,0439 606 686
Cooyar Clearing Dip,QHRA2000,Palms Road, Cooyar,Simon Otto,4163 9143 or 0407 580 154 
Nanango Clearing Dip,QDNN2000,Mt Stanley Road ,Nanango,Rick Elliott,0418 477 096
Coolabunia Clearing Dip,QFKA2000,D'Auilar Hwy ,Coolabunia,Rick Elliott,0418 477 096
Wondai Clearing Dip,QBWD2000,14180 Bunya Hwy ,Wondai,Livestock Link,0427 580 732
Murgon Saleyards,QGMG0300,Pratt Street , Murgon,Livestock Link,0427 580 732
Proston Clearing Dip,QCWD2002,Okeden Road,Proston,DAF Kingaroy,4160 0700 or 132523
Boondooma Clearing Dip,QHWD2001,Durong Mundubbera Road ,Boondooma,DAF Kingaroy,4160 0700 or 132523
Auburn Road Clearing Dip,QBCC0749,Auburn Road ,Chinchilla,DAF Dalby,4669 0800 or 132523
Taroom Saleyards,QFTR2001,Roma Taroom Road ,Taroom,Doug Stuart,4628 6236 or 0428 286 235 
Wandoan Saleyards,QKTR2000,13 Windeyer Road,Wandoan,DAF Dalby,4669 0800 or 132523
Elders Moura,QCBM2002,Dawson Hyw ,Moura,Tom Cuskelly,4997 1933 or 0428 971 827 
Gracemere Saleyards,QGFR2000,Saleyards Road ,Gracemere,Livestock Link,0409 495 715 or 0427 371 034 
Kenworth Park Rolleston Clearing Dip,QDBH0351,Rolleston Road ,Rolleston,Herb Tyson,4984 3134 or 0429 709 302 
Alpha Dip & Saleyards,QJJI2000,Alpha Clermont Road,Alpha,Roslyn Standerwick,0478 627 133
Dalrymple Municipal Saleyards ,QJDP0366,Flinders Highway ,Charters Towers,Charters Towers Regional Council,4761 5300
Prairie Clearing Dip,QJFD0303,Prairie Muttaburra Road ,Prairie,Bob Blacklock, 4741 0226 or 0428 411 788 
Hughenden Clearing Dip,QKFD0233,Saleyards Road ,Hughenden,Bob Blacklock,4741 0226 or 0428 411 788 
Richmond Clearing Dip,QHRD0124,Moulder Street,Richmond,Lachlan Corliss and Rebecca Flute,0447 625 359 or 0400 074 303
Maxwelton Dip,QBRD0166,Merson Street ,Maxwelton,Lachlan Corliss and Rebecca Flute,0447 625 359 or 0400 074 303
Julia Creek Clearing Dip,QAMK0168,Trucking Yards Road ,Julia Creek,David Heslin,4746 7615 or 0428 883 575 
The Cloncurry Sale Trucking and Clearing Yard Complex,QECR0084,Scheaffe Street ,Cloncurry,Col Saunders,4742 1670 or 0429 421 670
Mount Isa Dip,QKMI0069,202 Barkly Hwy,Mount Isa,Cameron Raines,0418 795 629
Mt Garnet,QFHB0403,Sugarbag Station,Mt Garnet,Brian Henry,0428 833 414
Toogoolawah Saleyards,QCES3000,George Street,Toogoolawah,Natasha Stark,0439 606 686
