Title,Description,Keywords,Address 1,Address 2,Suburb,Postcode,Latitude,Longitude,Phone,Phone 2,Email,Website,,,,,
Brisbane Northside Service,Main Service Location,,,534 Hamilton Road,Chermside,4032,-27.38519,153.024705,13 20 50,(07) 3350 7444,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Brisbane City,Satellite Location,,David Jones Rose Clinic - Level 2 Queens Plaza,149 Adelaide Street,Brisbane,4000,-27.46822,153.026114,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Northwest Community Health Centre,Satellite Location,,,49 Corrigan Street,Keperra,4054,-27.41324,152.958689,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Indooroopilly Shopping Centre,Satellite Location,,Level 1 (next to Kmart),Musgrave Road,Indooroopilly,4068,-27.499575,152.972629,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Kippa-Ring,Satellite Location,,Shop 4 Kippa-Ring Village,Boardman Road,Kippa-Ring,4021,-27.225594,153.086661,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
North Lakes,Satellite Location,,Ground Floor - North Lakes Health Precinct,9 Endeavour Boulevard,North Lakes,4509,-27.239134,153.020945,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Brisbane Southside Service,Main Service Location,,Ground Floor QEII Jubilee Hospital,Kessels Road,Coopers Plains,4108,-27.559594,153.048976,13 20 50,(07) 3182 6777,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Inala,Satellite Location,,Inala Community Centre,64 Wirraway Parade,Inala,4077,-27.600647,152.971399,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Logan Central,Satellite Location,,Logan Central Community Health Centre,97-103 Wembley Road,Logan Central,4114,-27.640244,153.108184,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
Redlands,Satellite Location,,Redlands Community Health Services Centre,Weppin Street,Cleveland,4163,-27.540864,153.253221,13 20 50,,bsqronlinesupport@health.qld.gov.au,https://www.breastscreen.qld.gov.au,,,,,
