Office,Service_Type,Address_StreetNumber_StreetName,Address_Suburb,Address_Postcode,Address_State,Postal_Address_PostBox_or_StreetNumber_StreetName,Postal_Address_Suburb,Postal_Address_Postcode,Postal_Address_State,Phone,Fax,Other,TTY,TIS,Twitter,Region,Email,Latitude,Longitude
Office of the Director-General,Corporate Services,111 George Street,Brisbane,4000,QLD,(blank),(blank),(blank),(blank),07 3235 4312,07 3235 4327,(blank),(blank),(blank),(blank),Brisbane,(blank),-27.47245774,153.0256027
Community Services,Corporate Services,111 George Street,Brisbane,4000,QLD,GPO Box 806,Brisbane,4001,QLD,(blank),07 3405 6428,13 74 68,07 3012 8655,(blank),(blank),Brisbane,enquiries@communities.qld.gov.au,-27.47245774,153.0256027
Child Safety Services,Corporate Services,111 George Street ,Brisbane,4001,Qld,GPO Box 806,Brisbane,4001,QLD,(blank),07 3405 6428,13 74 68,07 3012 8655,(blank),(blank),Brisbane,info@childsafety.qld.gov.au,-27.47245774,153.0256027
Disability Services,Corporate Services,"Level 3B, Neville Bonner Building 75 William Street",Brisbane,4000,QLD,GPO Box 806,Brisbane,4001,QLD,(blank),07 3406 9079,13 74 68,(blank),(blank),(blank),Brisbane,(blank),-27.47421202,153.0249456
Complaints,Corporate Services,(blank),(blank),(blank),(blank),GPO Box 806,Brisbane,4001,QLD,(blank),(blank),1800 080 464,(blank),(blank),(blank),Brisbane,feedback@communities.qld.gov.au,,
General Enquiries,Corporate Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,disabilityinfo@disability.qld.gov.au,,
Right to Information,Corporate Services,(blank),(blank),(blank),(blank),"Information Access and Amendment Unit Corporate Services Department of Communities, Child Safety and Disability Services GPO Box 806",Brisbane,4001,QLD,07 3224 2242,07 3224 7050 ,1800 809 078,(blank),(blank),(blank),Brisbane,rti@communities.qld.gov.au,,
Website Feedback,Corporate Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Brisbane,webmail@communities.qld.gov.au,,
"Guide, Hearing and Assistance Dogs",Guide Dogs,(blank),(blank),(blank),(blank),GPO Box 806 ,Brisbane,4001,QLD,(blank),(blank),13 74 68,133 677,(blank),(blank),Brisbane,ghadogs@communities.qld.gov.au,,
Adoptions,Adoption Services,"Lvl 1, 111 George Street",Brisbane,4001,Qld,GPO Box 806,Brisbane,4001,QLD, 07 3224 7415,07 3210 0350,1800 647 983,(blank),(blank),(blank),Brisbane,ads@communities.qld.gov.au,-27.47245774,153.0256027
Post Adoption Support Qld,Adoption Services,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),07 3170 4600,(blank),(blank),(blank),(blank),(blank),Brisbane,pasq@bensoc.org.au,,
