Name,Address,Suburb,Postcode,Latitude,Longtitude
Bay Island Transit Ticket Office,Redland Bay Ferry Terminal  Weinam Creek Marina,Redland Bay,4165,-27.616194,153.30831
Bloomfield Street News,115 - 117 Bloomfield Street,Cleveland,4163,-27.527541,153.26668
Brisbane Visitor Information Centre ,Regent Theatre Queen St Mall,Brisbane (city),4000,-27.469771,153.02512
Pacific News and Casket,4  Bulcock Street,Caloundra,4551,-26.805002,153.1312
Campus News,"Staffhouse Road, Union Complex, UQ (building 4)",St Lucia,4067,-27.49704,153.01554
Eagle Street News,"Ground Floor, 70 Eagle Street",Brisbane (city),4000,-27.467317,153.02952
Broadbeach South Tram Station Kiosk,Kiosk Site No 15 Corner Gold Coast Highway and Hooker Boulevard,Broadbeach ,4218,-28.034292,153.43106
Cavill Ave Kiosk Tram Station Kiosk,Kiosk Site 9 Cavill Ave Tram Station,Surfers Paradise ,4217,-28.001641,153.4284
GPO News Extra,"Shop 1, 40 Creek Street",Brisbane (city),4000,-27.467704,153.02898
Lucky Dragon Australia Fair ,Australia Fair Shopping Centre 42 Marine Parade ,Southport ,4215,-27.968057,153.41592
Mater News Central,550 Stanley Street,Woolloongabba,4102,-27.486354,153.03428
Metro News Indooroopilly,"Level 3, Indooroopilly Shoppingtown",Indooroopilly,4068,-27.4984,152.9712
Nathan Post Office,"Kessels Road, Community Centre, Griffith University",Nathan,4111,-27.552662,153.05372
NewsXpress Caboolture,"Matthew Terrace, corner James Street",Caboolture,4510,-27.083284,152.9533
NewsXpress Deception Bay,"Shop 16 Deception Bay SC, Bay Avenue",Deception Bay,4508,-27.194617,153.028951
NewsXpress Harbour Town,Shop M2 Harbour Town Shopping Centre,Biggera Waters,4126,-27.931693,153.38786
NewsXpress Kawana,"Shop 353, Kawana Shopping World, Point Cartwright Drive",Buddina,4575,-26.702873,153.13081
NewsXpress Myer Centre Level E,"Queen Street Mall, Myer Centre (level E)",Brisbane (city),4000,-27.471647,153.02257
NewsXpress Robina,"Shop 1, Market Hall Robina Town Centre",Robina,4230,-28.077581,153.3852
NewsXpress Surfers Paradise ,Shop G43/3240 Surfers Paradise Blvd,Surfers Paradise,4217,-27.999616,153.42783
NewsXpress Westpoint,"Westpoint Plaza Shopping Centre, Browns Plains Road",Browns Plains,4118,-27.662814,153.05494
Nextra Bribie Island News,"Shop 10- 11 Bribie Island Shopping Centre, 293 Goodwin Road",Bribie Island,4507,-26.9861,153.13252
Nextra Burleigh Heads,"Stockland Burleigh Shopping Centre, West Burleigh Road",Burleigh Heads,4220,-28.09794,153.44299
Nextra Carindale News,"Upper Level Westfield Carindale, Creek Road",Carindale,4152,-27.504422,153.09987
Nextra Chermside,"Westfield Shopping Centre, Gympie Road",Chermside,4032,-27.383835,153.03014
Nextra Logan Hyperdome,"Shop 128, Logan Hyperdome",Loganholme,4129,-27.664544,153.18412
Nextra Mt Gravatt Upper Level,"Garden City (upper level), Logan Road",Mt Gravatt,4122,-27.561815,153.08232
Nextra Mt Ommaney,Mt Ommaney Shopping Centre,Mt Ommaney,4074,-27.548833,152.93798
Nextra Swan Newsagency,"Shop 137 Sunshine Plaza, Horton Parade",Maroochydore,4558,-26.655991,153.09238
Post Office Square News,280 Queen Street,Brisbane (city),4000,-27.467192,153.02787
Rankins on the Mall,Queen Street,Brisbane (city),4000,-27.467336,153.02826
Resort News,"Pacific Fair Shopping Centre, Flinders Street",Broadbeach,4128,-28.036533,153.42803
Riverside Ferry Terminal Ticket Office,"123 Eagle St, Riverside",Brisbane (city),4000,-27.467164,153.03039
Stones Corner News,347 Logan Road,Stones Corner,4120,-27.552971,153.07988
Sunnybank Hills News,Sunny Hill Shopping Town,Sunnybank Hills,4109,-27.610167,153.05527
Sunnybank News and Casket Agency,"Shop 22 Sunnybank Plaza, Mains Road",Sunnybank,4109,-27.586722,153.06072
Supanews North Lakes,"Shop 1085, Westfield Shopping Centre North Ladkes",North Lakes,4509,-27.23997,153.01622
The University Co-operative Bookshop,University of the Sunshine Coast,Sippy Downs,4556,-26.718038,153.06965
WH Smith Central Station ,"Central Concourse, Central Station",Brisbane (city),4000,-27.466649,153.02568
Albany Creek News,"Shop 13, 700 Albany Creek Road",Albany Creek,4035,-27.352989,152.99129
Ascot News,71 Racecourse Road,Hamilton,4007,-27.43625,153.06512
Ashgrove News,"Ashgrove Shopping Centre, 16 Ashgrove Avenue",Ashgrove,4060,-27.444664,152.99339
Beaudesert News,97 Brisbane St,Beaudesert,4285,-27.987685,152.99595
Broadbeach News and Casket,2703 Gold Coast Highway,Broadbeach,4218,-28.029167,153.43056
Broadcast News,"Shop 1, 39 Sherwood Road",Toowong,4006,-27.485143,152.99159
Burstall Avenue News,"Belmont Shopping Complex, Cnr Burstall Ave and Belmont Rd",Belmont,4153,-27.483594,153.126078
Camp Hill Newsagency,569 Old Cleveland Road,Camp Hill,4152,-27.492698,153.07524
Capalaba Park News,"Capalaba Park Shopping Centre, Redland Bay Rd",Capalaba,4157,-27.524364,153.19085
Carina Newsagency,836 Old Cleveland Rd,Carina,4152,-27.495508,153.08877
Casino News,131 George Street,Brisbane (city),4000,-27.47227,153.02511
City News,10 Eagle Street,Brisbane (city),4000,-27.469208,153.0298
Coorparoo News,"Shop 6, Coorparoo Convenience Centre, 208 Old Cleveland Road",Coorparoo,4151,-27.496776,153.05417
Exchange Casket Agency,360 Queen St ,Brisbane (city),4000,-27.466216,153.02913
Ezymart King George Square ,KGCS Busway ,Brisbane (city),4000,-27.468949,153.02434
Foodworks Wishart,"590 Mt Gravatt – Capalaba Road, Wishart 4122",Wishart,4122,-27.548834,153.10738
Forest Lake Village News,"Forest Lake Village Shopping Centre, Forest Lake Boulevard",Forest Lake,4078,-27.624465,152.96857
Friendly Grocer Crestmead,5/13 Julie Street,Crestmead,4132,-27.696708,153.08251
Gasworks News,"Gasworks Plaza, Shop E5E/76 Skyring Terrace",Newstead,4006,-27.450167,153.04446
George Street News,370 George Street,Brisbane (city),4000,-27.468998,153.02132
Greenslopes Newsagency,"Shop 19, Greenslopes Mall, 700 Logan Road",Greenslopes,4120,-27.511977,153.05375
Good Price Pharmacy Deagon,"Deagon Market Square Shop 13,79 Braun Street",Deagon ,4017,-27.329654,153.05732
Griffiths University Gold Coast Student Guild,"Griffith University, Parklands Drive, The Link Building, Gold Coast Campus",Southport,4215,-27.964655,153.38091
Holland Park News,Shop 1/109 Seville Road,Holland Park,4121,-27.521684,153.07407
IGA Acacia Ridge,"28 Elizabeth St, Acacia Ridge",Acacia Ridge,4110,-27.590346,153.02729
IGA East Brisbane,33 Lytton Road,East Brisbane,4169,-27.479564,153.04265
IGA Greenslopes ,620 Logan Road ,Greenslopes,4120,-27.50823,153.05203
IGA New Farm ,572 Brunswick Street ,New Farm ,4005,-27.461821,153.03966
IGA Cleveland ,Shore Street West and Wellington Road,Cleveland ,4163,-27.523448,153.25517
Inala Plaza News,"Shop 4, Inala Civic Centre, Corsair Avenue",Inala,4077,-27.597539,152.9736
Infinity News Underwood,3215 Logan Road,Underwood,4119,-27.606091,153.10953
Jindalee News Stationers,"5/86 Curragundi Road, Jindalee",Jindalee,4074,-27.534688,152.93517
Junction News and Casket,492 Ipswich Road,Annerley ,4103,-27.510667,153.03261
Kallangur Fair News,Kallangur Fair Shopping Centre Shop 1 & 2 1473 Anzac Ave ,Kallangur,4503,-27.251317,152.99924
Kallangur News,1406 Anzac Ave,Kallangur,4503,-27.250223,152.99363
Kedron Newsagency & Casket Shop,359 Gympie Road (cnr Castle Road),Kedron,4031,-27.404369,153.03233
Kelvin Grove News & Post Office,"Victoria Park Road, QUT (C block)",Kelvin Grove,4059,-27.451146,153.01509
Kenmore News & Casket,"2060 Moggill Road, Kenmore",Kenmore,4069,-27.509952,152.93839
Manly Harbour Newsagency,"Shop 12, 222 Stratton Terrace",Manly,4179,-27.454643,153.18578
Mary Ryan Bookstore,"40 Park Road, Milton",Milton,4064,-27.471379,153.00517
Mary Street News,"Shop 4, 100 Edward Street ",Brisbane (city),4000,-27.470639,153.02874
Merthyr Road News,3/84 Merthyr Road ,New Farm ,4005,-27.467146,153.04579
Metro News On First,"Indooroopilly Shopping Centre, Level 1, 322 Moggill Road",Indooroopilly,4068,-27.499611,152.97264
Middle Park News and Gifts,"Shop 27-28 Park Village Shops, Middle Park",Middle Park,4074,-27.55543,152.9227
Milton News Centre,"Shop 3, Milton Shopping Centre, Baroona Road",Milton,4064,-27.468045,153.0021
Mineral House News,41 George Street,Brisbane (city),4000,-27.47358,153.02655
Moorvale News,186 Beaudesert Road,Moorooka,4105,-27.532592,153.02506
Morningside Central News,"Shop 11, 25 Junction Road",Morningside,4170,-27.465976,153.08007
Mt Gravatt News,1488 Logan Road,Mt Gravatt ,4122,-27.536508,153.07816
Nextra Gumdale,"Shop 4, 696 New Cleveland Road",Gumdale,4154,-27.490327,153.15249
NewsXpress Arana Hills,Shop 13B Kmart Plaza Cnr Patricks Road,Arana Hills,4054,-27.398801,152.95905
NewsXpress North Lakes ,103/53 Endeavour Blvd,North Lakes ,4509,-27.238383,153.01562
NewsXpress The Gap,"The Gap Village, 1000 Waterworks Road",The Gap,4061,-27.446135,152.9525
Nextra Booval News,Shop 51-53 Booval Fair Shopping Centre ,Booval ,4304,-27.615647,152.78944
Nextra Brook News and Casket,"Brookside Shopping Centre, Shop 90, Osbourne Road ",Mitchelton ,4053,-27.409154,152.97937
Nextra Browns Plains ,"Grand Plaza Shopping Centre, 27-49 Browns Plains Road",Browns Plains,4124,-27.662644,153.04097
Nextra Cannon Hill,"K-Mart Plaza, Creek Road",Cannon Hill,4170,-27.471339,153.0981
Nextra Carindale City News,"Lower level Westfield Carindale, 1151 Creek Road",Carindale,4152,-27.502998,153.10163
Nextra Express Chermside,Shop 192 Westfield Chermside,Chermside,4032,-27.384703,153.03206
Nextra Garden City Lower level,Shop 1358 Westfield Garden City,Upper Mt Gravatt ,4122,-27.564293,153.08381
Nextra General Hospital News,"Ned Hanlon Building, Royal Brisbane Hospital",Herston,4006,-27.446713,153.02875
Nextra Kippa-Ring News,27/284 Anzac Ave,Kippa Ring ,4021,-27.231267,153.1143
Nextra Orion Newsagency,"Shop 29, 1 Main Street Orion Springfield",Springfield,4300,-27.67711,152.90299
Nextra Peninsula Fair News,"Shop K4, Peninsula Fair Shopping Centre, Anzac Avenue",Kippa Ring,4021,-27.225752,153.088
Nextra Strathpine ,"Shop 36-37,  295 Gympie Road",Strathpine ,4055,-27.30726,152.99238
Nextra Toombul,Sandgate Road,Toombul,4012,-27.409059,153.06163
Nextra Wynnum Plaza,"Shop 20, Wynnum Plaza, Wynnum Road",Wynnum,4178,-27.456747,153.15581
Night Owl Convenience Store New Farm,660 Brunswick Street,New Farm,4005,-27.463144,153.04153
NightOwl Brisbane ,65 Adelaide Street ,Brisbane ,4000,-27.46932,153.02408
NightOwl Mermaid Beach,2375 Gold Coast Highway,Mermaid Beach ,4218,-28.050128,153.43662
NightOwl Milton,22 Railway Tce ,Milton,4064,-27.46921,153.00605
NightOwl Surfers Paradise,3031 Surfers Paradise Blvd,Surfers Paradise,4217,-28.005352,153.42913
Norman Park Central News,Shop 1/183 Bennetts Road,Norman Park,4170,-27.483586,153.06468
Nottingham Road News,"Shop 8, 2605 Beaudesert Road",Calamvale,4116,-27.630641,153.04587
Oxford Street News,134 Oxford Street,Bulimba,4171,-27.450989,153.05825
Paddington News ,"Shop 5, 95 Latrobe Terrace",Paddington,4064,-27.458964,152.99832
Park Ridge News,Park Ridge Shopping Village corner Mt Lindesay Hwy and Park Ridge Road,Park Ridge,4125,-27.696778,153.03892
Pinkeys Convenience Store ,"17 Zillman Road, Hendra",Clayfield,4011,-27.422308,153.06375
QUT Student Guild Gardens Point,"2 George Street, QUT, Gardens Point campus (L block)",Brisbane (city),4000,-27.477356,153.02842
Redland Bay News ,"Shop 29, Redland Bay Shopping Centre, Broadwater Terrace ",Redland Bay,4165,-27.612128,153.30224
