Title,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services 
Cairns Queensland Government Service Centre,William McCormack Place,Ground Floor 5B Sheridan Street,Cairns,4870,,,,,-16.926148,145.775376,"- 07 4036 5460
- 1800 623 208 (toll free)
- 1300 650 910 (maintenance enquiries)",(07) 4036 5578,cairnshsc@hpw.qld.gov.au,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,9:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,, 
Maroochydore Queensland Government Service Centre,Mike Ahern Centre,"Ground floor, 12 First Avenue",Maroochydore,4558,,,,,-26.656606,153.093294,"- (07) 5352 7333
- 1300 650 916 (Coolum Beach and south maintenance enquiries
- 1300 137 687 (Peregian Beach and north maintenance enquiries)",(07) 5352 7343,maroochydorehsc@hpw.qld.gov.au,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,9:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,, 
Thursday Island Housing Service Centre,,37-45 Douglas Street,Thursday Island,4875,,PO Box 514,Thursday Island,4875,-10.584221,142.220344,"- (07) 4212 3700
- 1300 650 910 (maintenance enquiries)",(07) 4090 3782,thursdayislandhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Townsville Housing Service Centre,,2/143 Walker Street,Townsville,4810,,,,,-19.258964,146.813892,"- (07) 4724 8500
- 1800 806 197
- 1300 650 913 (maintenance enquiries)",(07) 4760 7376,townsvillehsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Mount Isa Housing Service Centre,,19 West Street,Mount Isa,4825,,,,,-20.726122,139.489689,"- (07) 4437 2700
- 1800 620 466
- 1300 650 912 (maintenance enquiries)",(07) 4747 2138,mtisahsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Mackay Housing Service Centre,,22-30 Wood Street,Mackay,4740,,,,,-21.140405,149.186007,"- (07) 4862 9500
- 1800 069 237
- 1300 650 914 (maintenance enquiries)",(07) 4967 0906,mackayhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Rockhampton Housing Service Centre,"Level 3, State Government Building",209 Bolsover Street,Rockhampton,4700,,,,,-23.381493,150.514669,"- (07) 4848 7000
- 1800 801 176
- 1800 817 029 (maintenance enquiries)",(07) 4938 4088,rockhamptonhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Emerald Housing Service Centre,,99 Hospital Road,Emerald,4720,,,,,-23.509558,148.15324,"- (07) 4988 1600 
- 1800 659 160
- 1300 650 914 (maintenance enquiries)",(07) 4987 6742,emeraldhsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Gladstone Housing Service Centre,,"Level 2, 20-22 Herbert Street",Gladstone,4680,,,,,-23.84501,151.256771,"- (07) 4899 2400
- 1800 266 807
- 4977 7104 (maintenance enquiries)",(07) 4979 6574,gladstonehsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
Bundaberg Housing Service Centre,,16 Quay Street,Bundaberg,4670,,,,,-24.863789,152.354064,"- (07) 4331 7900
- 1800 809 835
- 1300 137 687(maintenance enquiries)",(07) 4131 5989,bundaberghsc@hpw.qld.gov.au,,,,,,,,,,,,,,,, 
