Title,Location,Services,Office type,Counter type,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Agency,Facilities,Description,Operating hours
"Albany Creek Library (QJA)","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Proceed past the service desk and turn left to the magazine area","16 Ferguson Street","ALBANY CREEK","4035","","","","",-27.345542,152.967638,07 3264 5267,,,,,,,,,,17:30-19:00,,,,,,,"",DJAG,"","","Thursday, 5:30pm - 7pm"
"Alexandra Hills Shopping Centre","Brisbane - East","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Information desk (outside newsagency)","Finucane Road","ALEXANDRA HILLS","4161","","","","",-27.5229844,153.2217888,(07) 3824 0000,,,10:00-12:00,,,,,,,17:30-19:30,,,,,,,"",DJAG,"","","Monday, 10am - 12pm and Thursday 5:30pm - 7:30pm"
"Arana Hills Kmart Plaza","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Main mall","Cnr Dawson Parade and Patricks Road","ARANA HILLS","4054","","","","",-27.3976618,152.9592549,(07) 3351 6127,,,11:00,14:00,,,,,,,,,09:30-11:30,,,,"",DJAG,"","","Monday, 11am - 2pm and Saturday, 9:30am - 11:30am"
"Arundel Plaza","Gold Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Outside Coles","230 Napper Road","PARKWOOD","4214","","","","",-27.9360517,153.3602816,(07) 5574 6099,,,11:00,13:00,,,,,,16:00-19:00,,12:00-14:00,,,,,"",DJAG,"","","Monday, 11am - 1pm Thursday, 4pm - 7pm and Friday, 12pm - 2pm"
"Ashgrove Library","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Meeting room","87 Amarina Avenue","ASHGROVE","4060","","","","",-27.44439,152.987316,(07) 3407 1940,,,,,,,,,10:30-12:00,,,,,,,,"",DJAG,"","","Thursday, 10:30am - 12pm"
"Ashmore City","Gold Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Near the Newsagency","Nerang Road","ASHMORE","4214","","","","",-27.9831288,153.3827677,(07) 5539 5000,,,,,10:00-12:00,12:00-14:00,,,,,,,,,,,"",DJAG,"","","Tuesday, 10am - 2pm"
"Aspley Hypermarket","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"outside Kmart","59 Albany Creek Rd","ASPLEY","4034","","","","",-27.362082,153.013981,(07) 3862 7222,,,,,,,11:00,14:00,,,11:00,14:00,,,,,"",DJAG,"","","Wednesday & Friday, 11am - 2pm"
"Atherton Courthouse","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Main registry","81 Main Street","ATHERTON","4883","","","","",-17.266718,145.475088,(07) 4091 9210,,,09:30-11:30,14:00-16:00,09:30-11:30,14:00-16:00,09:30-11:30,14:00-16:00,09:30-11:30,,09:30-11:30,14:00-16:00,,,,,"",DJAG,"","","Please contact the courthouse prior to attending to confirm availability. Monday to Friday 9:30am-11:30am, Monday to Wednesday 2pm-4pm and Friday, 2pm-4pm every second week"
"Australia Fair - Southport","Gold Coast","Volunteer Justice of Peace or Commissioner of Declaration.","Service",JP in the Community Program,"Level 1, near Australia Post","42 Marine Parade","SOUTHPORT","4215","","","","",-27.96965,153.414346,(07) 5556 6633,,,9:30,16:30,9:30,16:30,9:30,16:30,9:30,19:00,9:30,16:30,9:30,13:00,,,"",DJAG,"","","Monday to Wednesday and Friday, 9:30am-4:30pm; Thursday, 9:30am-7:00pm, and Saturday, 9:30am-1:00pm"
"Bargara Central Shopping Centre","Wide Bay","Volunteer Justice of Peace or Commissioner of Declaration","Service",JPs in the Community Program,"Outside Woolworths","699 Bundaberg Bargara Road","BARGARA","4670","","","","",-24.822181,152.441269,,,,,,,13:00-15:00,,,,,,,,,,,"",DJAG,"","","Tuesday, 1pm - 3pm"
"Beaudesert Queensland Government Customer Centre","Brisbane - South","Volunteer Justice of Peace or Commissioner for Declarations","Service",JP in the community program,"1 Telemon Street","","BEAUDESERT","4285","","","","",-27.990289,152.998346,13 74 68,,,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,,,,,"",DJAG,"","","Monday to Friday, 9:30am-3:30pm"
"Beenleigh Courthouse","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Ground floor registry","Cnr Kent and James Streets","BEENLEIGH","4207","","","","",-27.716766,153.20176,(07) 3884 7500,,,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,"",DJAG,"","","Monday - Friday, 9am - 4pm"
"Beenleigh Mall","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Information desk","Main Street","BEENLEIGH","4207","","","","",-27.718708,153.203538,,,,,,10:00-12:00,,,,,,,,,,,,"",DJAG,"","","Tuesday, 10am - 12pm"
"Beerwah Library","Sunshine Coast","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Reception","25 Peachester Road","BEERWAH","4519","","","","",-26.858016,152.955222,07 5475 8989,,,10:00,12:30,10:00,12:30,10:00,12:30,10:00,12:30,10:00,12:30,,,,,"",DJAG,"","","Monday to Friday, 10:00am - 12:30pm"
"Birkdale Fair","Brisbane - East","Volunteer Justice of the Peace or Commissioner for Declarations","Service",JPs in the Community Program,"Shop 12 opposite the butcher shop","Cnr Mary Pleasant Dr & Birkdale Rd","BIRKDALE","4159","","","","",-27.4909987,153.2182346,(07) 3256 9399,,,,,,,,,,18:30-20:00,,,10:00-12:00,,,,"",DJAG,"","","Thursday, 6:30pm-8:00pm and Saturday, 10am-12pm"
"Boonah Library","Brisbane - South","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"14-36 High Street","","BOONAH","4310","","","","",-27.9985989,152.6820392,(07) 5463 3064,,,,,,,,,11:00,13:00,,,,,,,"",DJAG,"","","Thursday, 11am-1pm"
"Booval Fair","Ipswich","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"near Mister Minit","Brisbane Road","BOOVAL","4304","","","","",-27.6157741,152.7899075,(07) 3281 0655,,,,,9:30-12:00,,,,,18:00-20:00,,,09:30-12:00,,,,"",DJAG,"","","Tuesday 9:30am - 12:00pm; Thursday 6pm - 8pm and Saturday 9:30am - 12pm"
"Bowen Courthouse","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Ground floor registry foyer","Cnr Herbert and William Street","BOWEN","4805","","","","",-20.012856,148.247066,(07) 4761 3701,,,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,09:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,9:00-12:00,12:00-15:00,,,,,"",DJAG,"","","Monday to Friday, 9am-3pm"
"Bracken Ridge Plaza","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Opposite Priceline Pharmacy","Cnr Telegraph and Norris Roads","BRACKEN RIDGE","4017","","","","",-27.331131,153.026704,(07) 3261 8111,,,,,,,,,09:30-11:30,,,,09:00-12:00,,,,"",DJAG,"","","Thursday, 9:30am - 11:30am; Saturday, 9am to 12pm"
"Brassall Shopping Centre","Ipswich","Volunteer Justice of Peace or Commissioner of Declaration. Please note: this service does not operate on public holidays","Service",JP in the community program,"Outside Bendigo Bank","68 Hunter Street","BRASSALL","4305","","","","",-27.597689,152.745345,(073201 4255),,,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,,,,,"",DJAG,"","","Monday to Friday, 11am-2pm"
"Bribie Island Library","Caboolture","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Reception","Cnr of First Avenue and Welsby Parade","BONGAREE","4507","","","","",-27.0833833,153.1588853,(07) 3408 1388,,,11:00,14:00,,,,,,17:00-18:00,,,,,,,"",DJAG,"","","Monday, 11am - 2pm and Thursday, 5pm - 6pm"
"Bribie Island Shopping Centre","Caboolture","","Service",JP in the community program,"Located between Telstra and Spend-Less Shoes","Cnr Goodwin Drive and Hornsby Road","BRIBIE ISLAND","4507","","","","",-27.064571,153.156065,(07) 5431 8600,,,,,10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,,,"",DJAG,"","Volunteer Justice of Peace or Commissioner of Declaration","Tuesday to Saturday 10am - 1pm"
"Brisbane Magistrates Court","Brisbane City","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Ground Floor Registry","363 George Street","BRISBANE","4000","","","","",-27.467923,153.021531,(07) 3247 5598,(07) 3247 5669,courthouse.Brisbane@justice.qld.gov.au,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,8:30-12:00,12:00-16:30,,,,,"",DJAG,"","","Monday to Friday, 8:30am-4:30pm"
"Brisbane Square Library","Brisbane City","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Level 1, Outside D.A. Lounge","Level 1, 266 George Street","BRISBANE","4000","","","","",-27.470635,153.0223,(07) 3403 4166,,,,,,,11:00,14:00,,,,,,,,,"",DJAG,"","","Wednesday, 11am - 2pm"
"Brookside Shopping Centre - Mitchelton","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"outside Flight Centre","159 Osborne Street","MITCHELTON","4053","","","","",-27.41052,152.979983,(07) 3355 5211,,,11:00,14:00,,,11:00,14:00,,17:30-19:30,11:00,14:00,10:00,13:00,,,"",DJAG,"","","Monday, Wednesday and Friday, 11am-2pm, Thursday, 5:30pm-7:30pm and Saturday, 10am-1pm"
"Bulimba Library","Brisbane - East","Volunteer Justice of the Peace or Commissioner for Delcarations","Service",JPs in the Community,"Corner Oxenford Street and Riding Road","","BULIMBA","4171","","","","",-27.4520453,153.0627386,,,,,,,,,,,,,,11:00,13:00,,,"",DJAG,"","","Saturday, 11am-1pm"
"Bundaberg Courthouse","Wide Bay","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"Ground floor registry","44 Quay Street","BUNDABERG","4670","","","","",-24.865579,152.347499,(07) 4131 5667,,,,13:00-15:00,,13:00-15:00,,13:00-15:00,,13:00-15:00,,13:00-15:00,,,,,"",DJAG,"","","Monday to Friday, 1pm - 3pm"
"Burdekin Library","North Queensland","Volunteer Justice of Peace or Commissioner of Declaration","",JP in the community program,"108 Graham Street","","AYR","4807","","","","",-19.576055,147.404029,07 4783 9970,,,,,10:00,14:00,,,,,,,,,,,"",DJAG,"","Service","Tuesday, 10am - 2pm"
"Burpengary Library","Brisbane - North","Volunteer Justice of Peace or Commissioner of Declaration","Service",JP in the community program,"101-121 Station Rd","","BURPENGARY","4505","","","","",-27.156457,152.966228,(07) 3888 5366,,,10:00,13:00,10:00,13:00,,,,,10:00,13:00,9:30,12:30,,,"",DJAG,"","","Monday, Tuesday and Friday, 10am - 1pm & Saturday, 9:30am-12:30pm"
